Code;Country;Population;;;
GIN;Guinea;12947122;;;
GNB;Guinea-Bissau;1888429;;;
GUY;Guyana;770610;;;
HTI;Haiti;10848175;;;
HMD;Heard Island and McDonald Islands;;;;
VAT;Holy See (Vatican City State);801;;;
HND;Honduras;8189501;;;
HKG;Hong Kong;7346248;;;
HUN;Hungary;9821318;;;
ISL;Iceland;331778;;;
IND;India;1326801576;;;
IDN;Indonesia;260581100;;;
IRN;Iran, Islamic Republic of;80043146;;;
IRQ;Iraq;37547686;;;
IRL;Ireland;4713993;;;
IMN;Isle of Man;88421;;;
ISR;Israel;8192463;;;
ITA;Italy;59801004;;;
JAM;Jamaica;2803362;;;
JPN;Japan;126323715;;;
JEY;Jersey;;;;
JOR;Jordan;7747800;;;
KAZ;Kazakhstan;17855384;;;
KEN;Kenya;47251449;;;
KIR;Kiribati;114405;;;
PRK;Korea, Democratic People's Republic of;;;;
KOR;Korea, Republic of;50503933;;;
KWT;Kuwait;4007146;;;
KGZ;Kyrgyzstan;6033769;;;
LAO;Lao People's Democratic Republic;6918367;;;
LVA;Latvia;1955742;;;
LBN;Lebanon;5988153;;;
LSO;Lesotho;2160309;;;
LBR;Liberia;4615222;;;
LBY;Libya;6330159;;;
LIE;Liechtenstein;37776;;;
LTU;Lithuania;2850030;;;
LUX;Luxembourg;576243;;;
MAC;Macao;597126;;;
MKD;Macedonia, the former Yugoslav Republic of;2081012;;;
MDG;Madagascar;24915822;;;
MWI;Malawi;17749826;;;
MYS;Malaysia;30751602;;;
MDV;Maldives;369812;;;
MLI;Mali;18134835;;;
MLT;Malta;419615;;;
MHL;Marshall Islands;53069;;;
MTQ;Martinique;396364;;;
MRT;Mauritania;4166463;;;
MUS;Mauritius;1277459;;;
MYT;Mayotte;246496;;;
MEX;Mexico;128632004;;;
FSM;Micronesia, Federated States of;104966;;;
MDA;Moldova, Republic of;4062862;;;
MCO;Monaco;37863;;;
MNG;Mongolia;3006444;;;
MNE;Montenegro;626101;;;
MSR;Montserrat;5154;;;
MAR;Morocco;34817065;;;
MOZ;Mozambique;28751362;;;
MMR;Myanmar;54363426;;;
NAM;Namibia;2513981;;;
NRU;Nauru;10263;;;
NPL;Nepal;28850717;;;
NLD;Netherlands;16979729;;;
NCL;New Caledonia;266431;;;
NZL;New Zealand;4565185;;;
NIC;Nicaragua;6150035;;;
NER;Niger;20715285;;;
NGA;Nigeria;186987563;;;
NIU;Niue;1612;;;
NFK;Norfolk Island;25281327;;;
MNP;Northern Mariana Islands;55389;;;
NOR;Norway;5271958;;;
OMN;Oman;4654471;;;
PAK;Pakistan;192826502;;;
PLW;Palau;21501;;;
PSE;Palestine, State of;4797239;;;
PAN;Panama;3990406;;;
PNG;Papua New Guinea;;;;
PRY;Paraguay;6725430;;;
PER;Peru;31774225;;;
PHL;Philippines;102250133;;;
PCN;Pitcairn;;;;
POL;Poland;38593161;;;
PRT;Portugal;10304434;;;
PRI;Puerto Rico;3680772;;;
QAT;Qatar;2291368;;;
REU;Reunion;867214;;;
ROU;Romania;19372734;;;
RUS;Russian Federation;143439832;;;
RWA;Rwanda;11882766;;;
BLM;Saint Barth̩lemy;;;;
SHN;Saint Helena, Ascension and Tristan da Cunha;3956;;;
KNA;Saint Kitts and Nevis;56183;;;
LCA;Saint Lucia;186383;;;
MAF;Saint Martin (French part);;;;
SPM;Saint Pierre and Miquelon;6301;;;
VCT;Saint Vincent and the Grenadines;109644;;;
WSM;Samoa;194523;;;
SMR;San Marino;31950;;;
STP;Sao Tome and Principe;194390;;;
SAU;Saudi Arabia;32157974;;;
SEN;Senegal;15589485;;;
SRB;Serbia;8812705;;;
SYC;Seychelles;97026;;;
SLE;Sierra Leone;6592102;;;
SGP;Singapore;5696506;;;
SXM;Sint Maarten (Dutch part);39538;;;
SVK;Slovakia;5429418;;;
SVN;Slovenia;2069362;;;
SLB;Solomon Islands;594934;;;
SOM;Somalia;11079013;;;
ZAF;South Africa;54978907;;;
SGS;South Georgia and the South Sandwich Islands;;;;
SSD;South Sudan;12733427;;;
ESP;Spain;46064604;;;
LKA;Sri Lanka;20810816;;;
SDN;Sudan;41175541;;;
SUR;Suriname;547610;;;
SJM;Svalbard and Jan Mayen;;;;
SWZ;Swaziland;1304063;;;
SWE;Sweden;9851852;;;
CHE;Switzerland;8379477;;;
SYR;Syrian Arab Republic;18563595;;;
TWN;Taiwan, Province of China;23395600;;;
TJK;Tajikistan;8669464;;;
TZA;Tanzania, United Republic of;55155473;;;
THA;Thailand;68146609;;;
TLS;Timor-Leste;1211245;;;
TGO;Togo;7496833;;;
TKL;Tokelau;1276;;;
TON;Tonga;106915;;;
TTO;Trinidad and Tobago;1364973;;;
TUN;Tunisia;11375220;;;
TUR;Turkey;79622062;;;
TKM;Turkmenistan;5438670;;;
TCA;Turks and Caicos Islands;34904;;;
TUV;Tuvalu;9943;;;
UGA;Uganda;40322768;;;
UKR;Ukraine;44624373;;;
ARE;United Arab Emirates;9266971;;;
GBR;United Kingdom;65111143;;;
UMI;United States Minor Outlying Islands;;;;
USA;United States of America;324118787;;;
URY;Uruguay;3444071;;;
UZB;Uzbekistan;30300446;;;
VUT;Vanuatu;270470;;;
VEN;Venezuela, Bolivarian Republic of;31518855;;;
VNM;Viet Nam;94444200;;;
VGB;Virgin Islands, British;30659;;;
VIR;Virgin Islands, U.S.;106415;;;
WLF;Wallis and Futuna;13112;;;
ESH;Western Sahara;584206;;;
YEM;Yemen;27477600;;;
ZMB;Zambia;16717332;;;
ZWE;Zimbabwe;15966810;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
